reference,mpn,pin,pin_name,electrical_type,net,sheet
U10,STM32G474CEU6,41,PB3,bidirectional,NC,04_stm32
U10,STM32G474CEU6,42,PB4,bidirectional,NC,04_stm32
U10,STM32G474CEU6,43,PB5,bidirectional,NC,04_stm32
U10,STM32G474CEU6,44,PB6,bidirectional,NC,04_stm32
U10,STM32G474CEU6,45,PB7,bidirectional,NC,04_stm32
U10,STM32G474CEU6,46,PB8,bidirectional,BOOT0,04_stm32
U10,STM32G474CEU6,47,PB9,bidirectional,NC,04_stm32
U10,STM32G474CEU6,48,VDD,power_in,3V3,04_stm32
U10,STM32G474CEU6,49,VSS,power_in,GND,04_stm32
C1,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,04_stm32
C1,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,04_stm32
C2,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,04_stm32
C2,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,04_stm32
C3,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,04_stm32
C3,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,04_stm32
C4,GEN-C-0603-4.7u-16V-X7R,1,1,passive,3V3,04_stm32
C4,GEN-C-0603-4.7u-16V-X7R,2,2,passive,GND,04_stm32
C5,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,04_stm32
C5,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,04_stm32
R1,GEN-R-0402-0-1%,1,1,passive,3V3,04_stm32
R1,GEN-R-0402-0-1%,2,2,passive,VDDA,04_stm32
C6,GEN-C-0603-1u-16V-X7R,1,1,passive,VDDA,04_stm32
C6,GEN-C-0603-1u-16V-X7R,2,2,passive,GND,04_stm32
C7,GEN-C-0402-100n-16V-X7R,1,1,passive,VDDA,04_stm32
C7,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,04_stm32
R2,GEN-R-0402-10k-1%,1,1,passive,BOOT0,04_stm32
R2,GEN-R-0402-10k-1%,2,2,passive,GND,04_stm32
R3,GEN-R-0402-10k-1%,1,1,passive,STM_ARM_EDGE,04_stm32
R3,GEN-R-0402-10k-1%,2,2,passive,GND,04_stm32
R4,GEN-R-0402-10k-1%,1,1,passive,WD_PULSE,04_stm32
R4,GEN-R-0402-10k-1%,2,2,passive,GND,04_stm32
R5,GEN-R-0402-10k-1%,1,1,passive,3V3,04_stm32
R5,GEN-R-0402-10k-1%,2,2,passive,CAN1_TX_REQ,04_stm32
R6,GEN-R-0402-10k-1%,1,1,passive,3V3,04_stm32
R6,GEN-R-0402-10k-1%,2,2,passive,CAN2_TX_REQ,04_stm32
R7,GEN-R-0402-10k-1%,1,1,passive,3V3,04_stm32
R7,GEN-R-0402-10k-1%,2,2,passive,CAN3_TX_REQ,04_stm32
R8,GEN-R-0402-10k-1%,1,1,passive,3V3,04_stm32
R8,GEN-R-0402-10k-1%,2,2,passive,STB1_REQ,04_stm32
R9,GEN-R-0402-10k-1%,1,1,passive,3V3,04_stm32
R9,GEN-R-0402-10k-1%,2,2,passive,STB2_REQ,04_stm32
R10,GEN-R-0402-10k-1%,1,1,passive,FT_EN_REQ,04_stm32
R10,GEN-R-0402-10k-1%,2,2,passive,GND,04_stm32
Y1,ABM8-16.000MHZ-B2-T,1,XI,passive,HSE_IN,05_debug_clock_uart
Y1,ABM8-16.000MHZ-B2-T,2,GND,passive,GND,05_debug_clock_uart
Y1,ABM8-16.000MHZ-B2-T,3,XO,passive,HSE_DRV,05_debug_clock_uart
Y1,ABM8-16.000MHZ-B2-T,4,GND,passive,GND,05_debug_clock_uart
R11,GEN-R-0402-0-1%,1,1,passive,HSE_OUT,05_debug_clock_uart
R11,GEN-R-0402-0-1%,2,2,passive,HSE_DRV,05_debug_clock_uart
C8,GEN-C-0402-27p-50V-C0G,1,1,passive,HSE_IN,05_debug_clock_uart
C8,GEN-C-0402-27p-50V-C0G,2,2,passive,GND,05_debug_clock_uart
C9,GEN-C-0402-27p-50V-C0G,1,1,passive,HSE_DRV,05_debug_clock_uart
C9,GEN-C-0402-27p-50V-C0G,2,2,passive,GND,05_debug_clock_uart
J10,SWD 2x5 1.27mm,1,VTref_OUT,passive,3V3,05_debug_clock_uart
J10,SWD 2x5 1.27mm,2,SWDIO,passive,SWDIO,05_debug_clock_uart
J10,SWD 2x5 1.27mm,3,GND,passive,GND,05_debug_clock_uart
J10,SWD 2x5 1.27mm,4,SWCLK,passive,SWCLK,05_debug_clock_uart
J10,SWD 2x5 1.27mm,5,GND,passive,GND,05_debug_clock_uart
J10,SWD 2x5 1.27mm,6,SWO_NC,passive,NC,05_debug_clock_uart
J10,SWD 2x5 1.27mm,7,KEY_NC,passive,NC,05_debug_clock_uart
J10,SWD 2x5 1.27mm,8,NC,passive,NC,05_debug_clock_uart
J10,SWD 2x5 1.27mm,9,GND,passive,GND,05_debug_clock_uart
J10,SWD 2x5 1.27mm,10,NRST,passive,SYS_RESET_N,05_debug_clock_uart
R12,GEN-R-0402-33-1%,1,1,passive,STM_TX_SRC,05_debug_clock_uart
R12,GEN-R-0402-33-1%,2,2,passive,STM_TX,05_debug_clock_uart
R13,GEN-R-0402-33-1%,1,1,passive,STM_RTS_SRC,05_debug_clock_uart
R13,GEN-R-0402-33-1%,2,2,passive,STM_RTS,05_debug_clock_uart
R14,GEN-R-0402-33-1%,1,1,passive,ESP_TX_SRC,05_debug_clock_uart
R14,GEN-R-0402-33-1%,2,2,passive,ESP_TX,05_debug_clock_uart
R15,GEN-R-0402-33-1%,1,1,passive,ESP_RTS_SRC,05_debug_clock_uart
R15,GEN-R-0402-33-1%,2,2,passive,ESP_RTS,05_debug_clock_uart
R16,GEN-R-0402-10k-1%,1,1,passive,3V3,05_debug_clock_uart
R16,GEN-R-0402-10k-1%,2,2,passive,STM_RTS,05_debug_clock_uart
R17,GEN-R-0402-10k-1%,1,1,passive,3V3,05_debug_clock_uart
R17,GEN-R-0402-10k-1%,2,2,passive,ESP_RTS,05_debug_clock_uart
R18,GEN-R-0402-47k-1%,1,1,passive,3V3,05_debug_clock_uart
R18,GEN-R-0402-47k-1%,2,2,passive,STM_TX,05_debug_clock_uart
R19,GEN-R-0402-47k-1%,1,1,passive,3V3,05_debug_clock_uart
R19,GEN-R-0402-47k-1%,2,2,passive,ESP_TX,05_debug_clock_uart
U11,ESP32-S3-MINI-1-N4R2,1,GND,power_in,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,2,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,3,3V3,power_in,3V3,06_esp32
U11,ESP32-S3-MINI-1-N4R2,4,IO0,bidirectional,ESP_BOOT_N,06_esp32
U11,ESP32-S3-MINI-1-N4R2,5,IO1,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,6,IO2,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,7,IO3,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,8,IO4,bidirectional,GPS_TX_SELECT,06_esp32
U11,ESP32-S3-MINI-1-N4R2,9,IO5,bidirectional,GPS_RX_TAP,06_esp32
U11,ESP32-S3-MINI-1-N4R2,10,IO6,bidirectional,GPS_PPS,06_esp32
U11,ESP32-S3-MINI-1-N4R2,11,IO7,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,12,IO8,bidirectional,BARO_SDA,06_esp32
U11,ESP32-S3-MINI-1-N4R2,13,IO9,bidirectional,BARO_SCL,06_esp32
U11,ESP32-S3-MINI-1-N4R2,14,IO10,bidirectional,IMU_SCLK,06_esp32
U11,ESP32-S3-MINI-1-N4R2,15,IO11,bidirectional,IMU_MOSI,06_esp32
U11,ESP32-S3-MINI-1-N4R2,16,IO12,bidirectional,IMU_MISO,06_esp32
U11,ESP32-S3-MINI-1-N4R2,17,IO13,bidirectional,IMU_CS_N,06_esp32
U11,ESP32-S3-MINI-1-N4R2,18,IO14,bidirectional,IMU_DRDY,06_esp32
U11,ESP32-S3-MINI-1-N4R2,19,IO15,bidirectional,ESP_RTS_SRC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,20,IO16,bidirectional,STM_RTS,06_esp32
U11,ESP32-S3-MINI-1-N4R2,21,IO17,bidirectional,ESP_TX_SRC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,22,IO18,bidirectional,STM_TX,06_esp32
U11,ESP32-S3-MINI-1-N4R2,23,USB_D-,bidirectional,USB_DM,06_esp32
U11,ESP32-S3-MINI-1-N4R2,24,USB_D+,bidirectional,USB_DP,06_esp32
U11,ESP32-S3-MINI-1-N4R2,25,IO21,bidirectional,IMU_RESET_N,06_esp32
U11,ESP32-S3-MINI-1-N4R2,26,IO26,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,27,IO47,bidirectional,GPS_PWR_REQ,06_esp32
U11,ESP32-S3-MINI-1-N4R2,28,IO33,bidirectional,USB_SERVICE_SENSE,06_esp32
U11,ESP32-S3-MINI-1-N4R2,29,IO34,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,30,IO48,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,31,IO35,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,32,IO36,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,33,IO37,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,34,IO38,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,35,IO39,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,36,IO40,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,37,IO41,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,38,IO42,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,39,TXD0,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,40,RXD0,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,41,IO45,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,42,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,43,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,44,IO46,bidirectional,NC,06_esp32
U11,ESP32-S3-MINI-1-N4R2,45,EN,input,SYS_RESET_N,06_esp32
U11,ESP32-S3-MINI-1-N4R2,46,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,47,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,48,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,49,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,50,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,51,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,52,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,53,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,54,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,55,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,56,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,57,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,58,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,59,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,60,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,61,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,62,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,63,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,64,GND,passive,GND,06_esp32
U11,ESP32-S3-MINI-1-N4R2,65,GND,passive,GND,06_esp32
C10,GEN-C-0603-100n-16V-X7R,1,1,passive,3V3,06_esp32
C10,GEN-C-0603-100n-16V-X7R,2,2,passive,GND,06_esp32
C11,GEN-C-0603-10u-16V-X7R,1,1,passive,3V3,06_esp32
C11,GEN-C-0603-10u-16V-X7R,2,2,passive,GND,06_esp32
C12,GEN-C-0603-10u-16V-X7R,1,1,passive,3V3,06_esp32
C12,GEN-C-0603-10u-16V-X7R,2,2,passive,GND,06_esp32
R20,GEN-R-0402-10k-1%,1,1,passive,3V3,06_esp32
R20,GEN-R-0402-10k-1%,2,2,passive,ESP_BOOT_N,06_esp32
SW1,TL3342F160QG,1,1,passive,ESP_BOOT_N,07_esp_service
SW1,TL3342F160QG,2,2,passive,GND,07_esp_service
R21,GEN-R-0402-22-1%,1,1,passive,USB_DM_CONN,07_esp_service
R21,GEN-R-0402-22-1%,2,2,passive,USB_DM,07_esp_service
R22,GEN-R-0402-22-1%,1,1,passive,USB_DP_CONN,07_esp_service
R22,GEN-R-0402-22-1%,2,2,passive,USB_DP,07_esp_service
U20,TCAN1046AVDYYRQ1,1,TXD1,input,CAN1_TXD,08_can_fd
U20,TCAN1046AVDYYRQ1,2,GND1,power_in,GND,08_can_fd
U20,TCAN1046AVDYYRQ1,3,VCC,power_in,AUTO5V,08_can_fd
U20,TCAN1046AVDYYRQ1,4,RXD1,output,CAN1_RX_PHY,08_can_fd
U20,TCAN1046AVDYYRQ1,5,GND2,power_in,GND,08_can_fd
U20,TCAN1046AVDYYRQ1,6,TXD2,input,CAN2_TXD,08_can_fd
U20,TCAN1046AVDYYRQ1,7,RXD2,output,CAN2_RX_PHY,08_can_fd
U20,TCAN1046AVDYYRQ1,8,STB2,input,CAN2_STB,08_can_fd
U20,TCAN1046AVDYYRQ1,9,CANL2,bidirectional,CAN2_L,08_can_fd
U20,TCAN1046AVDYYRQ1,10,CANH2,bidirectional,CAN2_H,08_can_fd
U20,TCAN1046AVDYYRQ1,11,VIO,power_in,PHY3V3,08_can_fd
U20,TCAN1046AVDYYRQ1,12,CANL1,bidirectional,CAN1_L,08_can_fd
U20,TCAN1046AVDYYRQ1,13,CANH1,bidirectional,CAN1_H,08_can_fd
U20,TCAN1046AVDYYRQ1,14,STB1,input,CAN1_STB,08_can_fd
C13,GEN-C-0402-100n-16V-X7R,1,1,passive,AUTO5V,08_can_fd
C13,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,08_can_fd
C14,GEN-C-0402-100n-16V-X7R,1,1,passive,PHY3V3,08_can_fd
C14,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,08_can_fd
C15,GEN-C-0603-4.7u-16V-X7R,1,1,passive,AUTO5V,08_can_fd
C15,GEN-C-0603-4.7u-16V-X7R,2,2,passive,GND,08_can_fd
R23,GEN-R-0402-10k-1%,1,1,passive,PHY3V3,08_can_fd
R23,GEN-R-0402-10k-1%,2,2,passive,CAN1_TXD,08_can_fd
R24,GEN-R-0402-10k-1%,1,1,passive,PHY3V3,08_can_fd
R24,GEN-R-0402-10k-1%,2,2,passive,CAN1_STB,08_can_fd
R25,GEN-R-0402-10k-1%,1,1,passive,PHY3V3,08_can_fd
R25,GEN-R-0402-10k-1%,2,2,passive,CAN2_TXD,08_can_fd
R26,GEN-R-0402-10k-1%,1,1,passive,PHY3V3,08_can_fd
R26,GEN-R-0402-10k-1%,2,2,passive,CAN2_STB,08_can_fd
U21,SN74LVC2G17DCKR,1,1A,input,CAN1_RX_PHY,08_can_fd
U21,SN74LVC2G17DCKR,2,GND,power_in,GND,08_can_fd
U21,SN74LVC2G17DCKR,3,2A,input,CAN2_RX_PHY,08_can_fd
U21,SN74LVC2G17DCKR,4,2Y,output,CAN2_RX,08_can_fd
U21,SN74LVC2G17DCKR,5,VCC,power_in,3V3,08_can_fd
U21,SN74LVC2G17DCKR,6,1Y,output,CAN1_RX,08_can_fd
C16,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,08_can_fd
C16,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,08_can_fd
U22,MAX3055ASD+,1,INH,output,FT_INH_MON,09_can_ft
U22,MAX3055ASD+,2,TXD,input,CAN3_TXD,09_can_ft
U22,MAX3055ASD+,3,RXD,output,CAN3_RX_PHY,09_can_ft
U22,MAX3055ASD+,4,ERR_N,output,FT_ERR_PHY,09_can_ft
U22,MAX3055ASD+,5,STB,input,AUTO5V,09_can_ft
U22,MAX3055ASD+,6,EN,input,CAN3_EN,09_can_ft
U22,MAX3055ASD+,7,WAKE,input,FT_WAKE,09_can_ft
U22,MAX3055ASD+,8,RTH,passive,FT_RTH,09_can_ft
U22,MAX3055ASD+,9,RTL,passive,FT_RTL,09_can_ft
U22,MAX3055ASD+,10,VCC,power_in,AUTO5V,09_can_ft
U22,MAX3055ASD+,11,CANH,bidirectional,CAN3_H,09_can_ft
U22,MAX3055ASD+,12,CANL,bidirectional,CAN3_L,09_can_ft
U22,MAX3055ASD+,13,GND,power_in,GND,09_can_ft
U22,MAX3055ASD+,14,BATT,power_in,PROTECTED_VBAT,09_can_ft
C17,GEN-C-0402-100n-16V-X7R,1,1,passive,AUTO5V,09_can_ft
C17,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,09_can_ft
C18,GEN-C-0603-100n-50V-X7R,1,1,passive,PROTECTED_VBAT,09_can_ft
C18,GEN-C-0603-100n-50V-X7R,2,2,passive,GND,09_can_ft
C19,GEN-C-0603-4.7u-16V-X7R,1,1,passive,AUTO5V,09_can_ft
C19,GEN-C-0603-4.7u-16V-X7R,2,2,passive,GND,09_can_ft
R27,GEN-R-0603-10k-1%,1,1,passive,PROTECTED_VBAT,09_can_ft
R27,GEN-R-0603-10k-1%,2,2,passive,FT_WAKE,09_can_ft
R28,GEN-R-0603-220k-1%,1,1,passive,FT_INH_MON,09_can_ft
R28,GEN-R-0603-220k-1%,2,2,passive,GND,09_can_ft
R29,GEN-R-0805-4.7k-1%,1,1,passive,FT_RTH,09_can_ft
R29,GEN-R-0805-4.7k-1%,2,2,passive,CAN3_H,09_can_ft
R30,GEN-R-0805-4.7k-1%,1,1,passive,FT_RTL,09_can_ft
R30,GEN-R-0805-4.7k-1%,2,2,passive,CAN3_L,09_can_ft
R31,GEN-R-0402-10k-1%,1,1,passive,PHY3V3,09_can_ft
R31,GEN-R-0402-10k-1%,2,2,passive,CAN3_TXD,09_can_ft
R32,GEN-R-0402-10k-1%,1,1,passive,CAN3_EN,09_can_ft
R32,GEN-R-0402-10k-1%,2,2,passive,GND,09_can_ft
U23,SN74LVC2G17DCKR,1,1A,input,CAN3_RX_PHY,09_can_ft
U23,SN74LVC2G17DCKR,2,GND,power_in,GND,09_can_ft
U23,SN74LVC2G17DCKR,3,2A,input,FT_ERR_PHY,09_can_ft
U23,SN74LVC2G17DCKR,4,2Y,output,FT_ERR_N,09_can_ft
U23,SN74LVC2G17DCKR,5,VCC,power_in,3V3,09_can_ft
U23,SN74LVC2G17DCKR,6,1Y,output,CAN3_RX,09_can_ft
C20,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,09_can_ft
C20,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,09_can_ft
U24,SN74LVC2G125DCUR,1,1OE_N,input,TX_OE_N,10_tx_gate
U24,SN74LVC2G125DCUR,2,1A,input,CAN1_TX_REQ,10_tx_gate
U24,SN74LVC2G125DCUR,3,2Y,tri_state,CAN2_TXD,10_tx_gate
U24,SN74LVC2G125DCUR,4,GND,power_in,GND,10_tx_gate
U24,SN74LVC2G125DCUR,5,2A,input,CAN2_TX_REQ,10_tx_gate
U24,SN74LVC2G125DCUR,6,1Y,tri_state,CAN1_TXD,10_tx_gate
U24,SN74LVC2G125DCUR,7,2OE_N,input,TX_OE_N,10_tx_gate
U24,SN74LVC2G125DCUR,8,VCC,power_in,PHY3V3,10_tx_gate
U25,SN74LVC2G125DCUR,1,1OE_N,input,TX_OE_N,10_tx_gate
U25,SN74LVC2G125DCUR,2,1A,input,CAN3_TX_REQ,10_tx_gate
U25,SN74LVC2G125DCUR,3,2Y,tri_state,CAN3_EN,10_tx_gate
U25,SN74LVC2G125DCUR,4,GND,power_in,GND,10_tx_gate
U25,SN74LVC2G125DCUR,5,2A,input,FT_EN_REQ,10_tx_gate
U25,SN74LVC2G125DCUR,6,1Y,tri_state,CAN3_TXD,10_tx_gate
U25,SN74LVC2G125DCUR,7,2OE_N,input,FT_RX_OE_N,10_tx_gate
U25,SN74LVC2G125DCUR,8,VCC,power_in,PHY3V3,10_tx_gate
R33,GEN-R-0402-10k-1%,1,1,passive,PHY3V3,10_tx_gate
R33,GEN-R-0402-10k-1%,2,2,passive,TX_OE_N,10_tx_gate
R34,GEN-R-0402-10k-1%,1,1,passive,PHY3V3,10_tx_gate
R34,GEN-R-0402-10k-1%,2,2,passive,FT_RX_OE_N,10_tx_gate
C21,GEN-C-0402-100n-16V-X7R,1,1,passive,PHY3V3,10_tx_gate
C21,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,10_tx_gate
C22,GEN-C-0402-100n-16V-X7R,1,1,passive,PHY3V3,10_tx_gate
C22,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,10_tx_gate
U26,SN74LVC2G125DCUR,1,1OE_N,input,FT_RX_OE_N,11_phy_modes
U26,SN74LVC2G125DCUR,2,1A,input,STB1_REQ,11_phy_modes
U26,SN74LVC2G125DCUR,3,2Y,tri_state,CAN2_STB,11_phy_modes
U26,SN74LVC2G125DCUR,4,GND,power_in,GND,11_phy_modes
U26,SN74LVC2G125DCUR,5,2A,input,STB2_REQ,11_phy_modes
U26,SN74LVC2G125DCUR,6,1Y,tri_state,CAN1_STB,11_phy_modes
U26,SN74LVC2G125DCUR,7,2OE_N,input,FT_RX_OE_N,11_phy_modes
U26,SN74LVC2G125DCUR,8,VCC,power_in,PHY3V3,11_phy_modes
U27,SN74LVC1G04DBVR,1,NC,passive,NC,11_phy_modes
U27,SN74LVC1G04DBVR,2,A,input,AUTO_GOOD,11_phy_modes
U27,SN74LVC1G04DBVR,3,GND,power_in,GND,11_phy_modes
U27,SN74LVC1G04DBVR,4,Y,output,FT_RX_OE_N,11_phy_modes
U27,SN74LVC1G04DBVR,5,VCC,power_in,PHY3V3,11_phy_modes
C23,GEN-C-0402-100n-16V-X7R,1,1,passive,PHY3V3,11_phy_modes
C23,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,11_phy_modes
C24,GEN-C-0402-100n-16V-X7R,1,1,passive,PHY3V3,11_phy_modes
C24,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,11_phy_modes
U30,TPS3431SDRBR,1,VDD,power_in,PHY3V3,12_watchdog_latch
U30,TPS3431SDRBR,2,CWD,passive,WDT_C,12_watchdog_latch
U30,TPS3431SDRBR,3,EN,input,PHY3V3,12_watchdog_latch
U30,TPS3431SDRBR,4,GND,power_in,GND,12_watchdog_latch
U30,TPS3431SDRBR,5,SET1,input,PHY3V3,12_watchdog_latch
U30,TPS3431SDRBR,6,WDI,input,WD_PULSE,12_watchdog_latch
U30,TPS3431SDRBR,7,WDO_N,open_collector,WD_OK_N,12_watchdog_latch
U30,TPS3431SDRBR,8,ENOUT,open_collector,NC,12_watchdog_latch
U30,TPS3431SDRBR,9,EP,power_in,GND,12_watchdog_latch
C25,GEN-C-0402-1n-16V-C0G,1,1,passive,WDT_C,12_watchdog_latch
C25,GEN-C-0402-1n-16V-C0G,2,2,passive,GND,12_watchdog_latch
C26,GEN-C-0402-100n-16V-X7R,1,1,passive,PHY3V3,12_watchdog_latch
C26,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,12_watchdog_latch
R35,GEN-R-0402-10k-1%,1,1,passive,PHY3V3,12_watchdog_latch
R35,GEN-R-0402-10k-1%,2,2,passive,WD_OK_N,12_watchdog_latch
U31,SN74LVC1G11DCKR,1,A,input,WD_OK_N,12_watchdog_latch
U31,SN74LVC1G11DCKR,2,GND,power_in,GND,12_watchdog_latch
U31,SN74LVC1G11DCKR,3,B,input,SYS_RESET_N,12_watchdog_latch
U31,SN74LVC1G11DCKR,4,Y,output,ARM_CLEAR_N,12_watchdog_latch
U31,SN74LVC1G11DCKR,5,VCC,power_in,PHY3V3,12_watchdog_latch
U31,SN74LVC1G11DCKR,6,C,input,AUTO_GOOD,12_watchdog_latch
C27,GEN-C-0402-100n-16V-X7R,1,1,passive,PHY3V3,12_watchdog_latch
C27,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,12_watchdog_latch
U32,SN74LVC1G74DCUR,1,CLK,input,STM_ARM_EDGE,12_watchdog_latch
U32,SN74LVC1G74DCUR,2,D,input,PHY3V3,12_watchdog_latch
U32,SN74LVC1G74DCUR,3,Q_N,output,NC,12_watchdog_latch
U32,SN74LVC1G74DCUR,4,GND,power_in,GND,12_watchdog_latch
