reference,mpn,pin,pin_name,electrical_type,net,sheet
F1,MF-PSMF010X-2,1,1,passive,HOST5V,03_mic_cable
F1,MF-PSMF010X-2,2,2,passive,MIC5V,03_mic_cable
C6,GEN-C-0603-1u-16V-X7R,1,1,passive,MIC5V,03_mic_cable
C6,GEN-C-0603-1u-16V-X7R,2,2,passive,GND,03_mic_cable
D1,TPD2E2U06DCKR,1,IO1,passive,CLK_P,03_mic_cable
D1,TPD2E2U06DCKR,2,IO2,passive,CLK_N,03_mic_cable
D1,TPD2E2U06DCKR,3,GND,passive,GND,03_mic_cable
D2,TPD2E2U06DCKR,1,IO1,passive,WS_P,03_mic_cable
D2,TPD2E2U06DCKR,2,IO2,passive,WS_N,03_mic_cable
D2,TPD2E2U06DCKR,3,GND,passive,GND,03_mic_cable
D3,TPD2E2U06DCKR,1,IO1,passive,DATA_P,03_mic_cable
D3,TPD2E2U06DCKR,2,IO2,passive,DATA_N,03_mic_cable
D3,TPD2E2U06DCKR,3,GND,passive,GND,03_mic_cable
#FLG1,PWR_FLAG,1,pwr,power_out,MIC5V,03_mic_cable
