reference,mpn,pin,pin_name,electrical_type,net,sheet
D1,TPD2E2U06DCKR,1,IO1,passive,CLK_P,01_receiver_power
D1,TPD2E2U06DCKR,2,IO2,passive,CLK_N,01_receiver_power
D1,TPD2E2U06DCKR,3,GND,passive,GND,01_receiver_power
D2,TPD2E2U06DCKR,1,IO1,passive,WS_P,01_receiver_power
D2,TPD2E2U06DCKR,2,IO2,passive,WS_N,01_receiver_power
D2,TPD2E2U06DCKR,3,GND,passive,GND,01_receiver_power
D3,TPD2E2U06DCKR,1,IO1,passive,DATA_P,01_receiver_power
D3,TPD2E2U06DCKR,2,IO2,passive,DATA_N,01_receiver_power
D3,TPD2E2U06DCKR,3,GND,passive,GND,01_receiver_power
R1,GEN-R-0402-100-1%,1,1,passive,CLK_P,02_i2s_link
R1,GEN-R-0402-100-1%,2,2,passive,CLK_N,02_i2s_link
U3,SN65LVDS2DBVR,1,VCC,power_in,3V3,02_i2s_link
U3,SN65LVDS2DBVR,2,GND,power_in,GND,02_i2s_link
U3,SN65LVDS2DBVR,3,A_P,input,CLK_P,02_i2s_link
U3,SN65LVDS2DBVR,4,B_N,input,CLK_N,02_i2s_link
U3,SN65LVDS2DBVR,5,R,output,BCLK_3V3,02_i2s_link
C5,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,02_i2s_link
C5,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,02_i2s_link
R2,GEN-R-0402-100-1%,1,1,passive,WS_P,02_i2s_link
R2,GEN-R-0402-100-1%,2,2,passive,WS_N,02_i2s_link
U4,SN65LVDS2DBVR,1,VCC,power_in,3V3,02_i2s_link
U4,SN65LVDS2DBVR,2,GND,power_in,GND,02_i2s_link
U4,SN65LVDS2DBVR,3,A_P,input,WS_P,02_i2s_link
U4,SN65LVDS2DBVR,4,B_N,input,WS_N,02_i2s_link
U4,SN65LVDS2DBVR,5,R,output,WS_3V3,02_i2s_link
C6,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,02_i2s_link
C6,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,02_i2s_link
U5,SN65LVDS1DBVR,1,VCC,power_in,3V3,02_i2s_link
U5,SN65LVDS1DBVR,2,GND,power_in,GND,02_i2s_link
U5,SN65LVDS1DBVR,3,Z_N,output,DATA_N,02_i2s_link
U5,SN65LVDS1DBVR,4,Y_P,output,DATA_P,02_i2s_link
U5,SN65LVDS1DBVR,5,D,input,DATA_3V3,02_i2s_link
C7,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,02_i2s_link
C7,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,02_i2s_link
MK1,MMICT5848-00-012,1,WS,input,WS_1V8,03_mems_microphone
MK1,MMICT5848-00-012,2,LR,input,GND,03_mems_microphone
MK1,MMICT5848-00-012,3,GND,power_in,GND,03_mems_microphone
MK1,MMICT5848-00-012,4,WAKE,output,NC,03_mems_microphone
MK1,MMICT5848-00-012,5,THSEL,input,NC,03_mems_microphone
MK1,MMICT5848-00-012,6,SCK,input,BCLK_1V8,03_mems_microphone
MK1,MMICT5848-00-012,7,VDD,power_in,1V8,03_mems_microphone
MK1,MMICT5848-00-012,8,SD,output,DATA_1V8,03_mems_microphone
C8,GEN-C-0402-100n-16V-X7R,1,1,passive,1V8,03_mems_microphone
C8,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,03_mems_microphone
R3,GEN-R-0402-100k-1%,1,1,passive,DATA_1V8,03_mems_microphone
R3,GEN-R-0402-100k-1%,2,2,passive,GND,03_mems_microphone
U6,SN74AXC1T45DCKR,1,VCCA,power_in,1V8,03_mems_microphone
U6,SN74AXC1T45DCKR,2,GND,power_in,GND,03_mems_microphone
U6,SN74AXC1T45DCKR,3,A,bidirectional,BCLK_1V8,03_mems_microphone
U6,SN74AXC1T45DCKR,4,B,bidirectional,BCLK_3V3,03_mems_microphone
U6,SN74AXC1T45DCKR,5,DIR,input,GND,03_mems_microphone
U6,SN74AXC1T45DCKR,6,VCCB,power_in,3V3,03_mems_microphone
C9,GEN-C-0402-100n-16V-X7R,1,1,passive,1V8,03_mems_microphone
C9,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,03_mems_microphone
C10,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,03_mems_microphone
C10,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,03_mems_microphone
U7,SN74AXC1T45DCKR,1,VCCA,power_in,1V8,03_mems_microphone
U7,SN74AXC1T45DCKR,2,GND,power_in,GND,03_mems_microphone
U7,SN74AXC1T45DCKR,3,A,bidirectional,WS_1V8,03_mems_microphone
U7,SN74AXC1T45DCKR,4,B,bidirectional,WS_3V3,03_mems_microphone
U7,SN74AXC1T45DCKR,5,DIR,input,GND,03_mems_microphone
U7,SN74AXC1T45DCKR,6,VCCB,power_in,3V3,03_mems_microphone
C11,GEN-C-0402-100n-16V-X7R,1,1,passive,1V8,03_mems_microphone
C11,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,03_mems_microphone
C12,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,03_mems_microphone
C12,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,03_mems_microphone
U8,SN74AXC1T45DCKR,1,VCCA,power_in,1V8,03_mems_microphone
U8,SN74AXC1T45DCKR,2,GND,power_in,GND,03_mems_microphone
U8,SN74AXC1T45DCKR,3,A,bidirectional,DATA_1V8,03_mems_microphone
U8,SN74AXC1T45DCKR,4,B,bidirectional,DATA_3V3,03_mems_microphone
U8,SN74AXC1T45DCKR,5,DIR,input,1V8,03_mems_microphone
U8,SN74AXC1T45DCKR,6,VCCB,power_in,3V3,03_mems_microphone
C13,GEN-C-0402-100n-16V-X7R,1,1,passive,1V8,03_mems_microphone
C13,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,03_mems_microphone
C14,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,03_mems_microphone
C14,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,03_mems_microphone
#FLG1,PWR_FLAG,1,pwr,power_out,MIC5V,01_receiver_power
#FLG2,PWR_FLAG,1,pwr,power_out,GND,01_receiver_power
