reference,mpn,pin,pin_name,electrical_type,net,sheet
C2,GEN-C-0402-100n-16V-X7R,1,1,passive,USB_VBUS,01_usb_c
C2,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,01_usb_c
U2,SN74LVC1G04DBVR,1,NC,passive,NC,01_usb_c
U2,SN74LVC1G04DBVR,2,A,input,USB_DEFAULT_N,01_usb_c
U2,SN74LVC1G04DBVR,3,GND,power_in,GND,01_usb_c
U2,SN74LVC1G04DBVR,4,Y,output,USB_POWER_ALLOWED,01_usb_c
U2,SN74LVC1G04DBVR,5,VCC,power_in,USB_VBUS,01_usb_c
C3,GEN-C-0402-100n-16V-X7R,1,1,passive,USB_VBUS,01_usb_c
C3,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,01_usb_c
R3,GEN-R-0402-100k-1%,1,1,passive,USB_POWER_ALLOWED,01_usb_c
R3,GEN-R-0402-100k-1%,2,2,passive,GND,01_usb_c
U3,TPS2553QDBVRQ1,1,IN,power_in,USB_VBUS,01b_usb_limit
U3,TPS2553QDBVRQ1,2,GND,power_in,GND,01b_usb_limit
U3,TPS2553QDBVRQ1,3,EN,input,USB_POWER_ALLOWED,01b_usb_limit
U3,TPS2553QDBVRQ1,4,FAULT_N,open_collector,USB_FAULT_N,01b_usb_limit
U3,TPS2553QDBVRQ1,5,ILIM,passive,USB_ILIM,01b_usb_limit
U3,TPS2553QDBVRQ1,6,OUT,power_out,USB_LIMITED,01b_usb_limit
R4,GEN-R-0402-26.7k-1%,1,1,passive,USB_ILIM,01b_usb_limit
R4,GEN-R-0402-26.7k-1%,2,2,passive,GND,01b_usb_limit
R5,GEN-R-0402-10k-1%,1,1,passive,USB_VBUS,01b_usb_limit
R5,GEN-R-0402-10k-1%,2,2,passive,USB_FAULT_N,01b_usb_limit
C4,GEN-C-0603-1u-16V-X7R,1,1,passive,USB_VBUS,01b_usb_limit
C4,GEN-C-0603-1u-16V-X7R,2,2,passive,GND,01b_usb_limit
C5,GEN-C-0603-1u-16V-X7R,1,1,passive,USB_LIMITED,01b_usb_limit
C5,GEN-C-0603-1u-16V-X7R,2,2,passive,GND,01b_usb_limit
R6,GEN-R-0805-0-1%,1,1,passive,USB_LIMITED,02_system_power
R6,GEN-R-0805-0-1%,2,2,passive,SYS5V,02_system_power
#FLG1,PWR_FLAG,1,pwr,power_out,SYS5V,02_system_power
U5,TPS629210DRLR,1,FB_VSET,passive,VSET_3V3,02_system_power
U5,TPS629210DRLR,2,PG,open_collector,NC,02_system_power
U5,TPS629210DRLR,3,VOS,input,3V3,02_system_power
U5,TPS629210DRLR,4,SW,output,SYS_SW,02_system_power
U5,TPS629210DRLR,5,GND,power_in,GND,02_system_power
U5,TPS629210DRLR,6,VIN,power_in,SYS5V,02_system_power
U5,TPS629210DRLR,7,EN,input,SYS5V,02_system_power
U5,TPS629210DRLR,8,MODE,passive,SYS_MODE,02_system_power
R7,GEN-R-0402-249k-1%,1,1,passive,VSET_3V3,02_system_power
R7,GEN-R-0402-249k-1%,2,2,passive,GND,02_system_power
R8,GEN-R-0402-27.4k-1%,1,1,passive,SYS_MODE,02_system_power
R8,GEN-R-0402-27.4k-1%,2,2,passive,GND,02_system_power
L1,DFE252012PD-2R2M=P2,1,1,passive,SYS_SW,02_system_power
L1,DFE252012PD-2R2M=P2,2,2,passive,3V3,02_system_power
C6,GEN-C-0603-4.7u-16V-X7R,1,1,passive,SYS5V,02_system_power
C6,GEN-C-0603-4.7u-16V-X7R,2,2,passive,GND,02_system_power
C7,GEN-C-0805-22u-10V-X7R,1,1,passive,3V3,02_system_power
C7,GEN-C-0805-22u-10V-X7R,2,2,passive,GND,02_system_power
#FLG2,PWR_FLAG,1,pwr,power_out,3V3,02_system_power
U6,TLV803EA30DPWR,1,RESET_N,open_collector,SYS_RESET_N,03_reset
U6,TLV803EA30DPWR,2,MR_N,input,3V3,03_reset
U6,TLV803EA30DPWR,3,PAD,passive,GND,03_reset
U6,TLV803EA30DPWR,4,GND,power_in,GND,03_reset
U6,TLV803EA30DPWR,5,VDD,power_in,3V3,03_reset
R9,GEN-R-0402-10k-1%,1,1,passive,3V3,03_reset
R9,GEN-R-0402-10k-1%,2,2,passive,SYS_RESET_N,03_reset
C8,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,03_reset
C8,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,03_reset
SW1,TL3342F160QG,1,1,passive,SYS_RESET_N,03_reset
SW1,TL3342F160QG,2,2,passive,GND,03_reset
U11,ESP32-S3-WROOM-1-N8R2,1,GND,power_in,GND,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,2,3V3,power_in,3V3,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,3,EN,input,SYS_RESET_N,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,4,IO4,bidirectional,PAIR_BUTTON_N,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,5,IO5,bidirectional,STATUS_LED,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,6,IO6,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,7,IO7,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,8,IO15,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,9,IO16,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,10,IO17,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,11,IO18,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,12,IO8,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,13,USB_D-,bidirectional,USB_DM,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,14,USB_D+,bidirectional,USB_DP,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,15,IO3,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,16,IO46,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,17,IO9,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,18,IO10,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,19,IO11,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,20,IO12,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,21,IO13,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,22,IO14,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,23,IO21,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,24,IO47,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,25,IO48,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,26,IO45,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,27,IO0,bidirectional,ESP_BOOT_N,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,28,IO35,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,29,IO36,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,30,IO37,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,31,IO38,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,32,IO39,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,33,IO40,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,34,IO41,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,35,IO42,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,36,RXD0,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,37,TXD0,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,38,IO2,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,39,IO1,bidirectional,NC,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,40,GND,passive,GND,02_esp32
U11,ESP32-S3-WROOM-1-N8R2,41,GND,passive,GND,02_esp32
C9,GEN-C-0603-100n-16V-X7R,1,1,passive,3V3,02_esp32
C9,GEN-C-0603-100n-16V-X7R,2,2,passive,GND,02_esp32
C10,GEN-C-0603-10u-16V-X7R,1,1,passive,3V3,02_esp32
C10,GEN-C-0603-10u-16V-X7R,2,2,passive,GND,02_esp32
C11,GEN-C-0603-10u-16V-X7R,1,1,passive,3V3,02_esp32
C11,GEN-C-0603-10u-16V-X7R,2,2,passive,GND,02_esp32
R10,GEN-R-0402-10k-1%,1,1,passive,3V3,02_esp32
R10,GEN-R-0402-10k-1%,2,2,passive,ESP_BOOT_N,02_esp32
SW2,TL3342F160QG,1,1,passive,ESP_BOOT_N,03_service
SW2,TL3342F160QG,2,2,passive,GND,03_service
R11,GEN-R-0402-22-1%,1,1,passive,USB_DM_CONN,03_service
R11,GEN-R-0402-22-1%,2,2,passive,USB_DM,03_service
R12,GEN-R-0402-22-1%,1,1,passive,USB_DP_CONN,03_service
R12,GEN-R-0402-22-1%,2,2,passive,USB_DP,03_service
R13,GEN-R-0402-10k-1%,1,1,passive,3V3,03_service
R13,GEN-R-0402-10k-1%,2,2,passive,PAIR_BUTTON_N,03_service
SW3,TL3342F160QG,1,1,passive,PAIR_BUTTON_N,03_service
SW3,TL3342F160QG,2,2,passive,GND,03_service
R14,GEN-R-0402-2.2k-1%,1,1,passive,STATUS_LED,03_service
R14,GEN-R-0402-2.2k-1%,2,2,passive,LED_A,03_service
D3,GEN-LED-0603-BLUE,1,K,passive,GND,03_service
D3,GEN-LED-0603-BLUE,2,A,passive,LED_A,03_service
